Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:17:09        all      0.04      0.00      2.46     88.58      0.00      8.92
08:17:10        all      0.13      0.00      2.68     87.68      0.00      9.52
08:17:11        all      0.43      0.00      2.81     85.19      0.00     11.57
08:17:12        all      0.38      0.00      2.58     79.56      0.00     17.48
08:17:13        all      0.50      0.00      2.85     80.89      0.00     15.76
08:17:14        all      0.44      0.00      2.86     77.95      0.00     18.75
08:17:15        all      0.02      0.00      2.49     78.33      0.00     19.16
08:17:16        all      0.10      0.00      2.24     78.87      0.00     18.78
08:17:17        all      0.05      0.00      2.09     79.30      0.00     18.56
08:17:18        all      0.05      0.00      2.06     80.18      0.00     17.71
08:17:19        all      0.05      0.00      1.85     80.67      0.00     17.43
08:17:20        all      0.07      0.00      2.19     80.47      0.00     17.27
08:17:21        all      0.10      0.00      2.29     80.85      0.00     16.76
08:17:22        all      0.09      0.00      2.04     80.22      0.00     17.65
08:17:23        all      0.07      0.00      2.04     81.42      0.00     16.47
08:17:24        all      0.06      0.00      1.77     81.61      0.00     16.56
08:17:25        all      0.42      0.00      2.30     71.36      0.00     25.92
08:17:26        all      0.21      0.00      2.21     69.24      0.00     28.33
08:17:27        all      0.65      0.00      2.39     68.51      0.00     28.45
08:17:28        all      0.24      0.00      2.12     66.98      0.00     30.67
08:17:29        all      0.07      0.00      1.91     70.98      0.00     27.04
08:17:30        all      0.06      0.00      2.08     70.77      0.00     27.10
08:17:31        all      0.09      0.00      2.00     71.05      0.00     26.86
08:17:32        all      0.08      0.00      2.32     71.48      0.00     26.13
08:17:33        all      0.06      0.00      1.86     72.22      0.00     25.86
08:17:34        all      0.04      0.00      1.94     71.89      0.00     26.13
08:17:35        all      0.09      0.00      2.11     72.00      0.00     25.81
08:17:36        all      0.06      0.00      1.97     72.08      0.00     25.89
08:17:37        all      0.10      0.00      2.11     71.94      0.00     25.85
08:17:38        all      0.17      0.00      1.91     69.59      0.00     28.33
08:17:39        all      0.49      0.00      2.05     69.76      0.00     27.71
08:17:40        all      0.44      0.00      2.54     65.05      0.00     31.97
08:17:41        all      0.09      0.00      2.06     68.65      0.00     29.21
08:17:42        all      0.04      0.00      1.97     69.56      0.00     28.43
08:17:43        all      0.04      0.00      1.98     70.35      0.00     27.63
08:17:44        all      0.13      0.00      2.03     71.48      0.00     26.36
08:17:45        all      0.13      0.00      2.73     71.78      0.00     25.37
08:17:46        all      0.11      0.00      2.33     72.40      0.00     25.16
08:17:47        all      0.13      0.00      2.36     72.81      0.00     24.70
08:17:48        all      0.08      0.00      2.26     74.07      0.00     23.60
08:17:49        all      0.10      0.00      2.25     77.54      0.00     20.11
08:17:50        all      0.06      0.00      2.13     77.39      0.00     20.42
08:17:51        all      0.35      0.00      2.60     72.53      0.00     24.53
08:17:52        all      0.42      0.00      2.47     72.79      0.00     24.32
08:17:53        all      0.50      0.00      2.60     71.86      0.00     25.04
